Unit,Cost,Hit Speed,Speed,Deploy Time,Range,Target,Count,Transport,Type,Rarity
Archers,3,1.2 sec,Medium (60),1 sec,5,Air &amp; Ground,x2,Ground,Troop,Common
Baby Dragon,4,1.6 sec,Fast (90),1 sec,3.5,Air &amp; Ground,x1,Air,Troop,Epic
Balloon,5,3 sec,Medium (90),1 sec,Melee,Buildings,x1,Air,Troop,Epic
Barbarians,5,1.5 sec,Medium (60),1 sec,Melee,Ground,x4,Ground,Troop,Common
Bomber,3,1.9 sec,Medium (60),1 sec,4.5,Ground,x1,Ground,Troop,Common
Bowler,5,2.5 sec,Slow (45),1 sec,5,Ground,x1,Ground,Troop,Epic
Dark Prince,4,1.5 sec,Medium (60),1 sec,Melee,Ground,x1,Ground,Troop,Epic
Electro Wizard,4,0.5 sec,Fast (90),1 sec,5,Air &amp; Ground,x1,Ground,Troop,Legendary
Elite Barbarians,6,1.5 sec,Very Fast (120),1 sec,Melee,Ground,x2,Ground,Troop,Common
Fire Spirits,2,,Very Fast (120),1 sec,2,Air &amp; Ground,x3,Ground,Troop,Common
Giant,5,1.5 sec,Slow (45),1 sec,Melee,Buildings,x1,Ground,Troop,Rare
Giant Skeleton,6,1.5 sec,Medium (60),1 sec,Melee,Ground,x1,Ground,Troop,Epic
Goblins,2,1.1 sec,Very Fast (120),1 sec,Melee,Ground,x3,Ground,Troop,Common
Golem,8,2.5 sec,Slow (45),3 sec,Melee,Buildings,x1,Ground,Troop,Epic
Guards,3,1.2 sec,Fast (90),1 sec,Melee,Ground,x3,Ground,Troop,Epic
Hog Rider,4,1.5 sec,Very Fast (120),1 sec,Melee,Buildings,x1,Ground,Troop,Rare
Ice Golem,2,2.5 sec,Slow (45),1 sec,Melee,Buildings,x1,Ground,Troop,Rare
Ice Spirit,1,,Very Fast (120),1 sec,2.5,Air &amp; Ground,1.5 sec,Ground,Troop,Common
Ice Wizard,3,1.5 sec,Medium (60),1 sec,5.5,Air &amp; Ground,x1,Ground,Troop,Legendary
Inferno Dragon,4,0.4 sec,Medium (60),1 sec,4,Air &amp; Ground,x1,Air,Troop,Legendary
Knight,3,1.1 sec,Medium (60),1 sec,Melee,Ground,x1,Ground,Troop,Common
Lava Hound,7,1.3 sec,Slow (45),1 sec,2,Buildings,x1,Air,Troop,Legendary
Lumberjack,4,0.7 sec,Very Fast (120),1 sec,Melee,Ground,+35%,Ground,Troop,Legendary
Mega Minion,3,1.5 sec,Medium (60),1 sec,2,Air &amp; Ground,x1,Air,Troop,Rare
Miner,3,1.2 sec,Fast (90),1 sec,Melee,Ground,x1,Ground,Troop,Legendary
Mini P.E.K.K.A.,4,1.8 sec,Fast (90),1 sec,Melee,Ground,x1,Ground,Troop,Rare
Minion Horde,5,1 sec,Fast (90),1 sec,2,Air &amp; Ground,x6,Air,Troop,Common
Minions,3,1 sec,Fast (90),1 sec,2,Air &amp; Ground,x3,Air,Troop,Common
Musketeer,4,1.1 sec,Medium (60),1 sec,6,Air &amp; Ground,x1,Ground,Troop,Rare
P.E.K.K.A.,7,1.8 sec,Slow (45),1 sec,Melee,Ground,x1,Ground,Troop,Epic
Prince,5,1.5 sec,Medium (60),1 sec,Melee,Ground,x1,Ground,Troop,Epic
Princess,3,3 sec,Medium (60),1 sec,9,Air &amp; Ground,x1,Ground,Troop,Legendary
Royal Giant,6,1.7 sec,Slow (45),1 sec,6.5,Buildings,x1,Ground,Troop,Common
Skeleton Army,3,1 sec,Fast (90),1 sec,Melee,Ground,x15,Ground,Troop,Epic
Skeletons,1,1 sec,Fast (90),1 sec,Melee,Ground,x4,Ground,Troop,Common
Sparky,6,5 sec,Slow (45),1 sec,4.5,Ground,x1,Ground,Troop,Legendary
Spear Goblins,2,1.3 sec,Very Fast (120),1 sec,5,Air &amp; Ground,x3,Ground,Troop,Common
Three Musketeers,9,1.1 sec,Medium (60),1 sec,6,Air &amp; Ground,x3,Ground,Troop,Rare
Valkyrie,4,1.5 sec,Medium (60),1 sec,Melee,Ground,x1,Ground,Troop,Rare
Witch,5,0.7 sec,Medium (60),7.5 sec,5,Air &amp; Ground,x1,Ground,Troop,Epic
Wizard,5,1.4 sec,Medium (60),1 sec,5.5,Air &amp; Ground,x1,Ground,Troop,Rare
